縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數_統計,假日夜間停留人數_統計,資料時間_統計
10007,彰化縣,10007180,二水鄉,9776,10683,109Y11M
10007,彰化縣,10007190,北斗鎮,27294,28270,109Y11M
10007,彰化縣,10007200,二林鎮,36425,37965,109Y11M
10007,彰化縣,10007210,田尾鄉,21203,22630,109Y11M
10007,彰化縣,10007220,埤頭鄉,23338,24427,109Y11M
10007,彰化縣,10007230,芳苑鄉,25156,26393,109Y11M
10007,彰化縣,10007240,大城鄉,10510,10846,109Y11M
10007,彰化縣,10007250,竹塘鄉,9106,9734,109Y11M
10007,彰化縣,10007260,溪州鄉,21689,22623,109Y11M
10008,南投縣,10008010,南投市,90184,90208,109Y11M
10008,南投縣,10008020,埔里鎮,78911,82353,109Y11M
10008,南投縣,10008030,草屯鎮,90186,92294,109Y11M
10008,南投縣,10008040,竹山鎮,44375,46618,109Y11M
10008,南投縣,10008050,集集鎮,8323,8224,109Y11M
10008,南投縣,10008060,名間鄉,28162,29790,109Y11M
10008,南投縣,10008070,鹿谷鄉,12975,16069,109Y11M
10008,南投縣,10008080,中寮鄉,7987,8881,109Y11M
10008,南投縣,10008090,魚池鄉,14252,18494,109Y11M
10008,南投縣,10008100,國姓鄉,12030,14585,109Y11M
10008,南投縣,10008110,水里鄉,12356,12759,109Y11M
10008,南投縣,10008120,信義鄉,10411,12267,109Y11M
10008,南投縣,10008130,仁愛鄉,16582,21855,109Y11M
10009,雲林縣,10009010,斗六市,129778,127676,109Y11M
10009,雲林縣,10009020,斗南鎮,38831,40015,109Y11M
10009,雲林縣,10009030,虎尾鎮,75513,73536,109Y11M
10009,雲林縣,10009040,西螺鎮,36913,38014,109Y11M
10009,雲林縣,10009050,土庫鎮,19080,19621,109Y11M
10009,雲林縣,10009060,北港鎮,29483,30353,109Y11M
10009,雲林縣,10009070,古坑鄉,22912,23981,109Y11M
10009,雲林縣,10009080,大埤鄉,12830,13267,109Y11M
10009,雲林縣,10009090,莿桐鄉,22733,23571,109Y11M
10009,雲林縣,10009100,林內鄉,12165,12734,109Y11M
10009,雲林縣,10009110,二崙鄉,17441,18086,109Y11M
10009,雲林縣,10009120,崙背鄉,19631,20174,109Y11M
