COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
64000,高雄市,64000030,左營區,183697,190281,187038,188652,201976,193214,109Y11M
64000,高雄市,64000040,楠梓區,171808,169998,170692,178423,171643,176877,109Y11M
64000,高雄市,64000050,三民區,291645,287570,288857,307107,294144,302573,109Y11M
64000,高雄市,64000060,新興區,64063,68104,66014,54705,58193,55770,109Y11M
64000,高雄市,64000070,前金區,44519,47879,46296,36817,41670,38389,109Y11M
64000,高雄市,64000080,苓雅區,160641,160836,160381,150753,149166,149401,109Y11M
64000,高雄市,64000090,前鎮區,184341,189379,187131,176819,198168,183597,109Y11M
64000,高雄市,64000100,旗津區,14878,14785,14822,16710,17060,16617,109Y11M
64000,高雄市,64000110,小港區,147378,144897,146665,131773,126510,130094,109Y11M
64000,高雄市,64000120,鳳山區,245791,244284,244857,291186,283322,289693,109Y11M
64000,高雄市,64000130,林園區,45093,44477,44769,49552,48622,49367,109Y11M
64000,高雄市,64000140,大寮區,137597,135906,137400,114837,112370,114528,109Y11M
64000,高雄市,64000150,大樹區,45125,47154,46406,43402,49332,44969,109Y11M
64000,高雄市,64000160,大社區,42401,41029,41679,42715,40692,41993,109Y11M
64000,高雄市,64000170,仁武區,107032,104986,106313,99051,95379,98257,109Y11M
64000,高雄市,64000180,鳥松區,69528,67775,68488,59861,57678,58854,109Y11M
64000,高雄市,64000190,岡山區,112144,110865,111424,96437,95434,96258,109Y11M
64000,高雄市,64000200,橋頭區,35328,33993,34595,39829,39629,39826,109Y11M
64000,高雄市,64000210,燕巢區,61804,62709,62278,44242,44416,44482,109Y11M
64000,高雄市,64000220,田寮區,4188,4133,4147,5938,6216,5792,109Y11M
64000,高雄市,64000230,阿蓮區,21698,21501,21545,25309,24902,25001,109Y11M
64000,高雄市,64000240,路竹區,62835,61592,62356,50620,50235,50692,109Y11M
64000,高雄市,64000250,湖內區,25495,25458,25420,29315,28750,29171,109Y11M
64000,高雄市,64000260,茄萣區,19680,19326,19401,23407,23630,23421,109Y11M
64000,高雄市,64000270,永安區,14254,13957,14110,11921,11740,11865,109Y11M
64000,高雄市,64000280,彌陀區,10827,10794,10827,13449,13382,13497,109Y11M
64000,高雄市,64000290,梓官區,23070,23048,22998,27912,27862,28109,109Y11M
64000,高雄市,64000300,旗山區,30982,30320,30587,30885,31742,31072,109Y11M
64000,高雄市,64000310,美濃區,22067,21996,22017,28267,29372,28484,109Y11M
64000,高雄市,64000320,六龜區,8712,8678,8661,11787,12318,11778,109Y11M
64000,高雄市,64000330,甲仙區,3309,3359,3330,4104,4366,4107,109Y11M
64000,高雄市,64000340,杉林區,5391,5504,5448,6915,7083,6976,109Y11M
64000,高雄市,64000350,內門區,9357,9850,9517,9659,10167,9875,109Y11M
64000,高雄市,64000360,茂林區,1039,1047,1039,1730,1860,1709,109Y11M
64000,高雄市,64000370,桃源區,2479,2383,2422,3587,3468,3520,109Y11M
64000,高雄市,64000380,那瑪夏區,1612,1521,1561,1885,1878,1865,109Y11M
10002,宜蘭縣,10002010,宜蘭市,98784,100197,99481,101500,103998,101965,109Y11M
10002,宜蘭縣,10002020,羅東鎮,66138,67073,66553,69656,69156,68973,109Y11M
10002,宜蘭縣,10002030,蘇澳鎮,38586,38457,38469,39443,39124,38860,109Y11M
10002,宜蘭縣,10002040,頭城鎮,22444,22378,22323,25904,25863,25313,109Y11M
10002,宜蘭縣,10002050,礁溪鄉,38400,38525,38060,46271,45734,44365,109Y11M
10002,宜蘭縣,10002060,壯圍鄉,15227,15267,15184,19604,19048,19177,109Y11M
10002,宜蘭縣,10002070,員山鄉,25968,26119,26004,30176,29390,29544,109Y11M
10002,宜蘭縣,10002080,冬山鄉,44931,44348,44511,50186,48706,49495,109Y11M
10002,宜蘭縣,10002090,五結鄉,47711,47609,47523,51949,51983,51534,109Y11M
10002,宜蘭縣,10002100,三星鄉,19837,19370,19639,19261,18670,18906,109Y11M
10002,宜蘭縣,10002110,大同鄉,6710,7252,6937,11325,12042,11396,109Y11M
10002,宜蘭縣,10002120,南澳鄉,5065,4973,5020,5690,5547,5591,109Y11M
10004,新竹縣,10004010,竹北市,214369,215633,215030,225193,221899,225857,109Y11M
